#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         THEMIS
#     SOURCE_NAME                     THB>Themis Probe B
#     DISCIPLINE                      Space Physics>Magnetospheric Science
#     DATA_TYPE                       FGM
#     DESCRIPTOR                      L2>L2 DATA
#     DATA_VERSION                    1
#     PI_NAME                         V. Angelopoulos, U. Auster & K.H. Glassmeier and W. Baumjohann
#     PI_AFFILIATION                  UCB, TUBS and IWF respectively, NASA NAS5-02099
#     TITLE                           Fluxgate Magnetometer Measurements
#     TEXT                            Sensor and electronics design provided by TUBS (Glassmeier, Auster) and IWF                            
#                                      (Baumjohann, Magnes)                                                                                  
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   THEMIS
#                                     ARTEMIS
#     LOGICAL_SOURCE                  thb_l2_fgm
#     LOGICAL_FILE_ID                 thb_l2_fgm_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Spacecraft-collected fluxgate magnetometer, Decimated TeleMetry High, DSL, GSE                         
#                                      and GSM coordinates                                                                                   
#     TIME_RESOLUTION                 1/4-1/128s
#     RULES_OF_USE                    Open Data for Scientific Use
#     GENERATED_BY                    THEMIS SOC
#     GENERATION_DATE                 Fri Jul 12 23:36:53 2019
#     ACKNOWLEDGEMENT                 NASA Contract NAS5-02099
#     MODS                            Rev- 2006-09-18
#     ADID_REF                        NSSD0110
#     LINK_TEXT                       THEMIS FGM
#                                     Higher resolution data and analysis s/w from
#                                     Detailed description of the
#     LINK_TITLE                      Processing History
#                                     THEMIS mission website
#                                     FGM instrument
#     HTTP_LINK                       http://themis.ssl.berkeley.edu/fgm_proc_history.shtml
#                                     http://themis.ssl.berkeley.edu/
#                                     http://themis.ssl.berkeley.edu/instrument_fgm.shtml
#     FILE_NAMING_CONVENTION          source_descriptor_datatype
#     CAVEATS                         See THEMIS website for caveats
#     VALIDITY                        to be validated
#     VALIDATOR                       tbd
#     VALIDATE                        Compatible with the ISTP CDF Standards
#     INST_MOD                        THM>xxxx
#     PARENTS                         xxxx
#     INST_SETTINGS                   Not used
#     SOFTWARE_VERSION                26797
#     SPASE_DATASETRESOURCEID         spase://VSPO/NumericalData/THEMIS/B/FGM/PT0.0078125S
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. thb_fgs_epoch
#  2. ---- FGS (spin-resolution/~3 sec) magnetic  field B in XYZ GSE Coordinates
#       NOTES:  Units are in nanotesla
#
UT__yyyy-mm-ddThh:mm:ss.sssZ,BX_FGS-D_(@_1_)_nT_GSE,BY_FGS-D_(@_2_)_nT_GSE,BZ_FGS-D_(@_3_)_nT_GSE
2019-01-07T14:00:01.202Z,3.80976,-0.237512,1.16308
2019-01-07T14:00:05.511Z,3.81474,-0.430431,0.954147
2019-01-07T14:00:09.821Z,3.82927,0.0713155,0.719564
2019-01-07T14:00:14.130Z,4.01855,-0.0752305,0.596929
2019-01-07T14:00:18.440Z,3.99583,-0.231165,0.539976
2019-01-07T14:00:22.749Z,4.09255,-0.532327,0.636035
2019-01-07T14:00:27.059Z,4.05863,-0.412999,0.791329
2019-01-07T14:00:31.368Z,3.83215,-0.588539,1.40178
2019-01-07T14:00:35.678Z,3.42972,-0.798881,1.95158
2019-01-07T14:00:39.987Z,3.23149,-1.41318,2.17212
2019-01-07T14:00:44.297Z,3.25378,-1.22011,2.09887
2019-01-07T14:00:48.606Z,2.87509,-2.17080,2.25571
2019-01-07T14:00:52.916Z,3.24357,-1.34786,2.06738
2019-01-07T14:00:57.225Z,3.26323,-1.29760,2.21698
2019-01-07T14:01:01.535Z,3.21192,-0.798953,2.28679
2019-01-07T14:01:05.844Z,3.36319,-0.399509,2.22177
2019-01-07T14:01:10.154Z,3.47312,-0.0950609,2.15872
2019-01-07T14:01:14.463Z,3.73693,-0.0922308,1.94856
2019-01-07T14:01:18.773Z,3.64163,0.0258863,1.96509
2019-01-07T14:01:23.082Z,3.57522,0.289306,2.03826
2019-01-07T14:01:27.392Z,3.42901,0.275471,2.26563
2019-01-07T14:01:31.702Z,3.54720,-0.108887,2.09995
2019-01-07T14:01:36.011Z,3.85548,-0.406121,1.78006
2019-01-07T14:01:40.321Z,3.89074,-0.500758,1.66236
2019-01-07T14:01:44.630Z,3.86280,-0.720259,1.59112
2019-01-07T14:01:48.940Z,3.95897,-0.411840,1.57508
2019-01-07T14:01:53.249Z,4.02573,-0.218365,1.29115
2019-01-07T14:01:57.559Z,4.12607,-0.122024,1.10383
2019-01-07T14:02:01.868Z,4.08077,-0.306032,1.37511
2019-01-07T14:02:06.178Z,4.13655,-0.660072,1.14025
2019-01-07T14:02:10.487Z,4.12863,-0.544333,1.22185
2019-01-07T14:02:14.797Z,3.95786,-0.880351,1.35742
2019-01-07T14:02:19.106Z,3.88103,-0.665576,1.48605
2019-01-07T14:02:23.416Z,3.93423,-0.790938,1.64821
2019-01-07T14:02:27.725Z,3.86421,-0.588659,1.76780
2019-01-07T14:02:32.035Z,3.74685,-0.750191,1.96168
2019-01-07T14:02:36.344Z,3.83909,-0.601731,1.66483
2019-01-07T14:02:40.654Z,3.93216,-0.906498,1.64527
2019-01-07T14:02:44.963Z,3.64083,-0.600916,1.84853
2019-01-07T14:02:49.273Z,3.61900,-0.588187,2.11308
2019-01-07T14:02:53.582Z,3.60175,-0.566798,2.01555
2019-01-07T14:02:57.892Z,3.76527,-0.595997,1.91173
2019-01-07T14:03:02.201Z,3.62129,-0.172779,2.01217
2019-01-07T14:03:06.511Z,3.92233,-0.706676,1.83708
2019-01-07T14:03:10.820Z,3.93284,-0.615364,1.72666
2019-01-07T14:03:15.130Z,4.08565,-1.02071,1.17998
2019-01-07T14:03:19.439Z,4.00543,-0.603122,1.38720
2019-01-07T14:03:23.749Z,3.93849,-0.431192,1.49212
